Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Gears,City_Hwy_Consumption_Ratio,Engine_Size_per_Cylinder,CO2_per_L100km,Vehicle_Size_Group,Fuel_Type_Label
AUDI,R8,TWO-SEATER,5.2,10,M,Z,21.1,13.8,17.8,16,409,6,1.529,0.52,22.98,Compact/Small,Premium Gasoline
AUDI,R8 SPYDER,TWO-SEATER,4.2,8,A,Z,17.6,11.0,14.6,19,336,7,1.6,0.525,23.01,Compact/Small,Premium Gasoline
AUDI,R8 SPYDER,TWO-SEATER,4.2,8,M,Z,21.2,13.4,17.7,16,407,6,1.582,0.525,22.99,Compact/Small,Premium Gasoline
AUDI,R8 SPYDER,TWO-SEATER,5.2,10,A,Z,18.2,10.6,14.8,19,347,7,1.717,0.52,23.45,Compact/Small,Premium Gasoline
AUDI,R8 SPYDER,TWO-SEATER,5.2,10,M,Z,21.1,13.8,17.8,16,409,6,1.529,0.52,22.98,Compact/Small,Premium Gasoline
AUDI,RS 5,SUBCOMPACT,4.2,8,A,Z,15.3,10.9,13.3,21,306,7,1.404,0.525,23.01,Compact/Small,Premium Gasoline
AUDI,RS 5 CABRIOLET,SUBCOMPACT,4.2,8,A,Z,15.2,11.3,13.4,21,308,7,1.345,0.525,22.99,Compact/Small,Premium Gasoline
AUDI,RS 7,MID-SIZE,4.0,8,AS,Z,15.5,8.8,12.5,23,293,8,1.761,0.5,23.44,Mid-size,Premium Gasoline
AUDI,S4,COMPACT,3.0,6,A,Z,13.2,9.2,11.4,25,262,7,1.435,0.5,22.98,Compact/Small,Premium Gasoline
AUDI,S4,COMPACT,3.0,6,M,Z,14.6,9.8,12.4,23,285,6,1.49,0.5,22.98,Compact/Small,Premium Gasoline
AUDI,S5,SUBCOMPACT,3.0,6,A,Z,13.2,9.2,11.4,25,262,7,1.435,0.5,22.98,Compact/Small,Premium Gasoline
AUDI,S5,SUBCOMPACT,3.0,6,M,Z,14.6,9.8,12.4,23,285,6,1.49,0.5,22.98,Compact/Small,Premium Gasoline
AUDI,S5 CABRIOLET,SUBCOMPACT,3.0,6,A,Z,13.3,9.5,11.6,24,267,7,1.4,0.5,23.02,Compact/Small,Premium Gasoline
AUDI,S6,MID-SIZE,4.0,8,A,Z,14.2,9.7,12.2,23,281,7,1.464,0.5,23.03,Mid-size,Premium Gasoline
AUDI,S7,MID-SIZE,4.0,8,A,Z,14.2,9.7,12.2,23,281,7,1.464,0.5,23.03,Mid-size,Premium Gasoline
AUDI,S8,MID-SIZE,4.0,8,AS,Z,15.8,9.2,12.8,22,300,8,1.717,0.5,23.44,Mid-size,Premium Gasoline
AUDI,SQ5,SUV - SMALL,3.0,6,AS,Z,14.9,10.1,12.7,22,292,8,1.475,0.5,22.99,SUV,Premium Gasoline
AUDI,TT COUPE QUATTRO,SUBCOMPACT,2.0,4,A,Z,10.4,7.6,9.1,31,209,6,1.368,0.5,22.97,Compact/Small,Premium Gasoline
AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2.0,4,A,Z,10.4,7.6,9.1,31,209,6,1.368,0.5,22.97,Compact/Small,Premium Gasoline
AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2.0,4,A,Z,11.5,8.8,10.3,27,237,6,1.307,0.5,23.01,Compact/Small,Premium Gasoline
AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,2.0,4,A,Z,11.5,8.8,10.3,27,237,6,1.307,0.5,23.01,Compact/Small,Premium Gasoline
BENTLEY,CONTINENTAL GT,SUBCOMPACT,4.0,8,AS,Z,16.3,9.8,13.4,21,314,8,1.663,0.5,23.43,Compact/Small,Premium Gasoline
BENTLEY,CONTINENTAL GT,SUBCOMPACT,6.0,12,AS,Z,18.8,11.5,15.5,18,356,8,1.635,0.5,22.97,Compact/Small,Premium Gasoline
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,4.0,8,AS,Z,17.4,10.2,14.2,20,332,8,1.706,0.5,23.38,Compact/Small,Premium Gasoline
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,6.0,12,AS,Z,20.0,12.2,16.5,17,380,8,1.639,0.5,23.03,Compact/Small,Premium Gasoline
BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,SUBCOMPACT,6.0,12,AS,Z,20.0,12.2,16.5,17,380,8,1.639,0.5,23.03,Compact/Small,Premium Gasoline
BENTLEY,FLYING SPUR,MID-SIZE,6.0,12,AS,Z,20.3,11.9,16.5,17,388,8,1.706,0.5,23.52,Mid-size,Premium Gasoline
BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS,Z,22.3,14.9,19.0,15,437,8,1.497,0.85,23.0,Mid-size,Premium Gasoline
BMW,320i,COMPACT,2.0,4,A,Z,10.0,6.5,8.4,34,193,8,1.538,0.5,22.98,Compact/Small,Premium Gasoline
BMW,320i,COMPACT,2.0,4,M,Z,10.4,6.7,8.7,32,200,6,1.552,0.5,22.99,Compact/Small,Premium Gasoline
BMW,320i xDRIVE,COMPACT,2.0,4,A,Z,10.2,7.0,8.8,32,202,8,1.457,0.5,22.95,Compact/Small,Premium Gasoline
BMW,328d xDRIVE,COMPACT,2.0,4,A,D,7.6,5.5,6.7,42,181,8,1.382,0.5,27.01,Compact/Small,Diesel
BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,A,D,7.6,5.5,6.7,42,181,8,1.382,0.5,27.01,Mid-size,Diesel
BMW,328i,COMPACT,2.0,4,A,Z,10.0,6.5,8.4,34,193,8,1.538,0.5,22.98,Compact/Small,Premium Gasoline
BMW,328i,COMPACT,2.0,4,M,Z,10.4,6.7,8.7,32,200,6,1.552,0.5,22.99,Compact/Small,Premium Gasoline
BMW,328i xDRIVE,COMPACT,2.0,4,A,Z,10.6,7.2,9.1,31,209,8,1.472,0.5,22.97,Compact/Small,Premium Gasoline
BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,2.0,4,A,Z,10.6,7.2,9.1,31,209,8,1.472,0.5,22.97,Mid-size,Premium Gasoline
BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,A,Z,10.6,7.2,9.1,31,209,8,1.472,0.5,22.97,Mid-size,Premium Gasoline
BMW,335i,COMPACT,3.0,6,A,Z,11.4,7.3,9.6,29,221,8,1.562,0.5,23.02,Compact/Small,Premium Gasoline
BMW,335i,COMPACT,3.0,6,M,Z,11.8,7.9,10.0,28,230,6,1.494,0.5,23.0,Compact/Small,Premium Gasoline
BMW,335i xDRIVE,COMPACT,3.0,6,A,Z,11.7,7.8,9.9,29,228,8,1.5,0.5,23.03,Compact/Small,Premium Gasoline
BMW,335i xDRIVE,COMPACT,3.0,6,M,Z,11.9,8.3,10.3,27,237,6,1.434,0.5,23.01,Compact/Small,Premium Gasoline
BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,A,Z,11.9,8.0,10.1,28,232,8,1.488,0.5,22.97,Mid-size,Premium Gasoline
BMW,428i COUPE,COMPACT,2.0,4,A,Z,10.0,6.5,8.4,34,193,8,1.538,0.5,22.98,Compact/Small,Premium Gasoline
BMW,428i COUPE,COMPACT,2.0,4,M,Z,10.4,6.7,8.7,32,200,6,1.552,0.5,22.99,Compact/Small,Premium Gasoline
BMW,428i xDRIVE COUPE,COMPACT,2.0,4,A,Z,10.6,7.2,9.1,31,209,8,1.472,0.5,22.97,Compact/Small,Premium Gasoline
BMW,435i COUPE,COMPACT,3.0,6,A,Z,11.4,7.3,9.6,29,221,8,1.562,0.5,23.02,Compact/Small,Premium Gasoline
BMW,435i COUPE,COMPACT,3.0,6,M,Z,11.8,7.9,10.0,28,230,6,1.494,0.5,23.0,Compact/Small,Premium Gasoline
BMW,435i xDRIVE COUPE,COMPACT,3.0,6,A,Z,11.7,7.8,9.9,29,228,8,1.5,0.5,23.03,Compact/Small,Premium Gasoline
BMW,435i xDRIVE COUPE,COMPACT,3.0,6,M,Z,11.9,8.3,10.3,27,237,6,1.434,0.5,23.01,Compact/Small,Premium Gasoline
BMW,528i,MID-SIZE,2.0,4,A,Z,10.2,7.0,8.8,32,202,8,1.457,0.5,22.95,Mid-size,Premium Gasoline
BMW,528i xDRIVE,MID-SIZE,2.0,4,A,Z,10.6,7.2,9.1,31,209,8,1.472,0.5,22.97,Mid-size,Premium Gasoline
BMW,535d xDRIVE,MID-SIZE,3.0,6,A,D,9.2,6.4,7.9,36,213,8,1.437,0.5,26.96,Mid-size,Diesel
BMW,535i xDRIVE,MID-SIZE,3.0,6,A,Z,11.9,8.0,10.1,28,232,8,1.488,0.5,22.97,Mid-size,Premium Gasoline
BMW,535i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,A,Z,12.5,8.6,10.7,26,246,8,1.453,0.5,22.99,Mid-size,Premium Gasoline
BMW,550i xDRIVE,MID-SIZE,4.4,8,A,Z,14.4,9.6,12.2,23,281,8,1.5,0.55,23.03,Mid-size,Premium Gasoline
BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,4.4,8,A,Z,15.0,9.8,12.7,22,292,8,1.531,0.55,22.99,Mid-size,Premium Gasoline
BMW,640i xDRIVE GRAN COUPE,COMPACT,3.0,6,A,Z,11.9,8.0,10.1,28,232,8,1.488,0.5,22.97,Compact/Small,Premium Gasoline
BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8,A,Z,15.0,9.8,12.7,22,292,8,1.531,0.55,22.99,Compact/Small,Premium Gasoline
BMW,650i xDRIVE COUPE,COMPACT,4.4,8,A,Z,14.4,9.6,12.2,23,281,8,1.5,0.55,23.03,Compact/Small,Premium Gasoline
BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,8,A,Z,15.0,9.8,12.7,22,292,8,1.531,0.55,22.99,Compact/Small,Premium Gasoline
BMW,740Li xDRIVE,FULL-SIZE,3.0,6,A,Z,12.5,8.6,10.7,26,246,8,1.453,0.5,22.99,Mid-size,Premium Gasoline
BMW,750i xDRIVE,FULL-SIZE,4.4,8,A,Z,15.0,9.8,12.7,22,292,8,1.531,0.55,22.99,Mid-size,Premium Gasoline
BMW,750Li xDRIVE,FULL-SIZE,4.4,8,A,Z,15.0,9.8,12.7,22,292,8,1.531,0.55,22.99,Mid-size,Premium Gasoline
BMW,760Li,FULL-SIZE,6.0,12,A,Z,18.7,11.5,15.5,18,356,8,1.626,0.5,22.97,Mid-size,Premium Gasoline
BMW,ACTIVEHYBRID 3,COMPACT,3.0,6,A,Z,9.2,7.1,8.3,34,191,8,1.296,0.5,23.01,Compact/Small,Premium Gasoline
BMW,ACTIVEHYBRID 5,MID-SIZE,3.0,6,A,Z,10.5,7.9,9.3,30,214,8,1.329,0.5,23.01,Mid-size,Premium Gasoline
BMW,ACTIVEHYBRID 7L,FULL-SIZE,3.0,6,A,Z,10.5,7.6,9.2,31,212,8,1.382,0.5,23.04,Mid-size,Premium Gasoline
BMW,ALPINA B7 xDRIVE LWB,FULL-SIZE,4.4,8,A,Z,15.0,9.8,12.7,22,292,8,1.531,0.55,22.99,Mid-size,Premium Gasoline
BMW,ALPINA B7 xDRIVE SWB,FULL-SIZE,4.4,8,A,Z,15.0,9.8,12.7,22,292,8,1.531,0.55,22.99,Mid-size,Premium Gasoline
BMW,M5,MID-SIZE,4.4,8,AM,Z,17.3,11.5,14.7,19,338,7,1.504,0.55,22.99,Mid-size,Premium Gasoline
BMW,M5,MID-SIZE,4.4,8,M,Z,16.2,10.9,13.8,20,317,6,1.486,0.55,22.97,Mid-size,Premium Gasoline
BMW,M6,COMPACT,4.4,8,AM,Z,17.3,11.5,14.7,19,338,7,1.504,0.55,22.99,Compact/Small,Premium Gasoline
BMW,M6,COMPACT,4.4,8,M,Z,16.2,10.9,13.8,20,317,6,1.486,0.55,22.97,Compact/Small,Premium Gasoline
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,AM,Z,17.3,11.5,14.7,19,338,7,1.504,0.55,22.99,Compact/Small,Premium Gasoline
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,M,Z,16.2,10.9,13.8,20,317,6,1.486,0.55,22.97,Compact/Small,Premium Gasoline
BMW,M6 GRAN COUPE,COMPACT,4.4,8,AM,Z,17.3,11.5,14.7,19,338,7,1.504,0.55,22.99,Compact/Small,Premium Gasoline
BMW,M6 GRAN COUPE,COMPACT,4.4,8,M,Z,16.2,10.9,13.8,20,317,6,1.486,0.55,22.97,Compact/Small,Premium Gasoline
BMW,X1 xDRIVE28i,SUV - SMALL,2.0,4,A,Z,10.6,7.2,9.1,31,209,8,1.472,0.5,22.97,SUV,Premium Gasoline
BMW,X1 xDRIVE35i,SUV - SMALL,3.0,6,A,Z,13.2,8.9,11.3,25,260,6,1.483,0.5,23.01,SUV,Premium Gasoline
BMW,X3 xDRIVE28i,SUV - SMALL,2.0,4,A,Z,11.2,8.5,10.0,28,230,8,1.318,0.5,23.0,SUV,Premium Gasoline
BMW,X3 xDRIVE35i,SUV - SMALL,3.0,6,A,Z,12.6,9.1,11.0,26,253,8,1.385,0.5,23.0,SUV,Premium Gasoline
BMW,X5 xDRIVE35i,SUV - STANDARD,3.0,6,A,Z,12.9,8.8,11.1,25,255,8,1.466,0.5,22.97,SUV,Premium Gasoline
BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8,A,Z,16.3,10.9,13.9,20,320,8,1.495,0.55,23.02,SUV,Premium Gasoline
BMW,X6 M,SUV - STANDARD,4.4,8,A,Z,18.1,13.7,16.1,18,370,6,1.321,0.55,22.98,SUV,Premium Gasoline
BMW,X6 xDRIVE35i,SUV - STANDARD,3.0,6,A,Z,13.6,9.8,11.9,24,274,8,1.388,0.5,23.03,SUV,Premium Gasoline
BMW,X6 xDRIVE50i,SUV - STANDARD,4.4,8,A,Z,16.4,11.3,14.1,20,324,8,1.451,0.55,22.98,SUV,Premium Gasoline
BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4,A,Z,10.8,7.1,9.1,31,209,8,1.521,0.5,22.97,Compact/Small,Premium Gasoline
BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4,M,Z,10.4,6.7,8.7,32,200,6,1.552,0.5,22.99,Compact/Small,Premium Gasoline
BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,6,AM,Z,13.7,10.1,12.1,23,278,7,1.356,0.5,22.98,Compact/Small,Premium Gasoline
BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,6,M,Z,12.7,9.0,11.0,26,253,6,1.411,0.5,23.0,Compact/Small,Premium Gasoline
BMW,Z4 sDRIVE35is,TWO-SEATER,3.0,6,AM,Z,13.7,10.1,12.1,23,278,7,1.356,0.5,22.98,Compact/Small,Premium Gasoline
BUICK,ENCLAVE,SUV - STANDARD,3.6,6,A,X,14.3,9.9,12.3,23,283,6,1.444,0.6,23.01,SUV,Regular Gasoline
BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,6,A,X,14.6,10.2,12.6,22,290,6,1.431,0.6,23.02,SUV,Regular Gasoline
BUICK,ENCORE,SUV - SMALL,1.4,4,AS,X,9.5,7.2,8.5,33,196,6,1.319,0.35,23.06,SUV,Regular Gasoline
BUICK,ENCORE AWD,SUV - SMALL,1.4,4,AS,X,10.2,8.0,9.2,31,212,6,1.275,0.35,23.04,SUV,Regular Gasoline
BUICK,LACROSSE,MID-SIZE,3.6,6,AS,X,13.7,8.7,11.5,25,264,6,1.575,0.6,22.96,Mid-size,Regular Gasoline
BUICK,LACROSSE,MID-SIZE,3.6,6,AS,E,18.4,12.2,15.6,18,250,6,1.508,0.6,16.03,Mid-size,Ethanol (E85)
BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS,X,13.7,8.9,11.5,25,264,6,1.539,0.6,22.96,Mid-size,Regular Gasoline
BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS,E,19.4,13.0,16.5,17,264,6,1.492,0.6,16.0,Mid-size,Ethanol (E85)
BUICK,LACROSSE eASSIST,MID-SIZE,2.4,4,AS,X,9.6,6.5,8.2,34,189,6,1.477,0.6,23.05,Mid-size,Regular Gasoline
BUICK,REGAL,MID-SIZE,2.0,4,AS,Z,11.5,7.9,9.9,29,228,6,1.456,0.5,23.03,Mid-size,Premium Gasoline
BUICK,REGAL,MID-SIZE,2.0,4,M,Z,11.6,7.5,9.8,29,225,6,1.547,0.5,22.96,Mid-size,Premium Gasoline
BUICK,REGAL AWD,MID-SIZE,2.0,4,AS,Z,12.3,8.7,10.7,26,246,6,1.414,0.5,22.99,Mid-size,Premium Gasoline
BUICK,REGAL eASSIST,MID-SIZE,2.4,4,AS,X,9.6,6.5,8.2,34,189,6,1.477,0.6,23.05,Mid-size,Regular Gasoline
BUICK,VERANO,COMPACT,2.0,4,AS,Z,11.5,7.9,9.9,29,228,6,1.456,0.5,23.03,Compact/Small,Premium Gasoline
BUICK,VERANO,COMPACT,2.0,4,M,Z,11.6,7.5,9.8,29,225,6,1.547,0.5,22.96,Compact/Small,Premium Gasoline
BUICK,VERANO,COMPACT,2.4,4,AS,X,11.3,7.4,9.5,30,218,6,1.527,0.6,22.95,Compact/Small,Regular Gasoline
CADILLAC,ATS,COMPACT,2.0,4,AS,Z,11.3,7.5,9.6,29,221,6,1.507,0.5,23.02,Compact/Small,Premium Gasoline
CADILLAC,ATS,COMPACT,2.0,4,M,Z,12.1,7.9,10.2,28,235,6,1.532,0.5,23.04,Compact/Small,Premium Gasoline
CADILLAC,ATS,COMPACT,2.5,4,AS,X,10.5,7.2,9.0,31,207,6,1.458,0.625,23.0,Compact/Small,Regular Gasoline
CADILLAC,ATS,COMPACT,3.6,6,AS,X,12.8,8.5,10.9,26,251,6,1.506,0.6,23.03,Compact/Small,Regular Gasoline
CADILLAC,ATS AWD,COMPACT,2.0,4,AS,Z,11.8,8.1,10.1,28,232,6,1.457,0.5,22.97,Compact/Small,Premium Gasoline
CADILLAC,ATS AWD,COMPACT,3.6,6,AS,X,13.1,9.0,11.3,25,260,6,1.456,0.6,23.01,Compact/Small,Regular Gasoline
CADILLAC,CTS COUPE,MID-SIZE,3.6,6,AS,X,13.2,8.7,11.2,25,258,6,1.517,0.6,23.04,Mid-size,Regular Gasoline
CADILLAC,CTS COUPE AWD,MID-SIZE,3.6,6,AS,X,13.3,9.0,11.4,25,262,6,1.478,0.6,22.98,Mid-size,Regular Gasoline
CADILLAC,CTS SEDAN,MID-SIZE,2.0,4,AS,Z,11.9,7.9,10.1,28,232,6,1.506,0.5,22.97,Mid-size,Premium Gasoline
CADILLAC,CTS SEDAN,MID-SIZE,3.6,6,AS,X,12.9,8.2,10.8,26,248,8,1.573,0.6,22.96,Mid-size,Regular Gasoline
CADILLAC,CTS SEDAN AWD,MID-SIZE,2.0,4,AS,Z,12.6,8.5,10.8,26,248,6,1.482,0.5,22.96,Mid-size,Premium Gasoline
CADILLAC,CTS SEDAN AWD,MID-SIZE,3.6,6,AS,X,13.1,9.0,11.3,25,260,6,1.456,0.6,23.01,Mid-size,Regular Gasoline
CADILLAC,CTS SEDAN Vsport,MID-SIZE,3.6,6,AS,Z,15.1,9.9,12.8,22,294,8,1.525,0.6,22.97,Mid-size,Premium Gasoline
CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.0,6,AS,X,12.7,8.9,11.0,26,253,6,1.427,0.5,23.0,Mid-size,Regular Gasoline
CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.6,6,AS,X,13.3,8.9,11.3,25,260,6,1.494,0.6,23.01,Mid-size,Regular Gasoline
CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.0,6,AS,X,12.8,9.1,11.1,25,255,6,1.407,0.5,22.97,Mid-size,Regular Gasoline
CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.6,6,AS,X,13.3,9.0,11.4,25,262,6,1.478,0.6,22.98,Mid-size,Regular Gasoline
